DAY,TOTAL_HOURS,SESSIONS,ACTIVE_USERS
01 Jan 2016,10.258333,134,52
02 Jan 2016,21.716111,148,66
03 Jan 2016,12.203333,136,56
04 Jan 2016,17.112222,124,53
05 Jan 2016,31.147222,172,82
06 Jan 2016,24.456111,164,74
07 Jan 2016,16.608333,138,61
08 Jan 2016,21.495000,174,76
09 Jan 2016,30.901667,158,67
10 Jan 2016,13.544444,118,51
11 Jan 2016,22.480556,152,65
12 Jan 2016,10.981667,134,59
13 Jan 2016,19.738333,130,57
14 Jan 2016,28.351111,160,73
15 Jan 2016,11.366667,184,86
16 Jan 2016,17.652778,176,80
17 Jan 2016,11.228333,92,37
18 Jan 2016,16.031667,114,55
19 Jan 2016,10.932222,134,59
20 Jan 2016,16.465000,144,62
21 Jan 2016,40.750000,152,65
22 Jan 2016,21.740556,174,78
23 Jan 2016,30.873333,184,77
24 Jan 2016,19.472778,118,54
25 Jan 2016,12.477778,98,47
26 Jan 2016,11.772778,132,56
27 Jan 2016,8.534444,126,56
28 Jan 2016,13.071111,128,58
29 Jan 2016,17.748889,148,70
30 Jan 2016,25.996667,144,65
31 Jan 2016,15.287222,108,46
01 Feb 2016,23.160556,126,57
02 Feb 2016,19.732778,244,104
03 Feb 2016,31.075000,164,71
04 Feb 2016,15.152222,156,72
05 Feb 2016,25.512778,192,87
06 Feb 2016,28.820556,248,104
07 Feb 2016,14.840556,146,66
08 Feb 2016,7.757222,80,38
09 Feb 2016,24.871111,168,76
10 Feb 2016,21.531111,120,55
11 Feb 2016,23.801111,128,61
12 Feb 2016,22.811111,210,93
13 Feb 2016,20.191667,178,76
14 Feb 2016,24.715556,182,82
15 Feb 2016,16.067222,160,71
16 Feb 2016,25.160556,130,60
17 Feb 2016,9.532778,144,57
18 Feb 2016,39.944444,322,120
19 Feb 2016,95.457222,544,198
20 Feb 2016,21.337222,228,94
21 Feb 2016,36.433889,364,148
22 Feb 2016,27.988333,210,96
23 Feb 2016,38.516667,182,81
24 Feb 2016,20.822222,384,158
25 Feb 2016,33.953333,240,105
26 Feb 2016,43.541111,252,115
27 Feb 2016,46.700000,246,109
28 Feb 2016,25.661667,206,90
29 Feb 2016,0.770556,6,3
01 Mar 2016,23.955000,296,130
02 Mar 2016,45.330556,280,131
03 Mar 2016,46.822778,390,165
04 Mar 2016,53.570556,330,140
05 Mar 2016,71.415556,388,174
06 Mar 2016,57.133889,440,192
07 Mar 2016,34.043889,234,104
08 Mar 2016,48.510000,244,107
09 Mar 2016,39.033889,224,97
10 Mar 2016,23.931111,176,76
11 Mar 2016,53.508333,296,134
12 Mar 2016,116.203889,400,174
13 Mar 2016,60.611111,298,126
14 Mar 2016,16.303889,184,81
15 Mar 2016,49.804444,210,97
16 Mar 2016,16.817222,132,59
17 Mar 2016,19.305556,110,47
18 Mar 2016,49.297222,248,104
19 Mar 2016,71.292778,384,167
20 Mar 2016,61.020000,354,159
21 Mar 2016,17.466111,130,58
22 Mar 2016,21.920556,158,72
23 Mar 2016,41.827222,388,162
24 Mar 2016,134.152778,528,232
25 Mar 2016,77.222222,454,204
26 Mar 2016,88.963889,384,170
27 Mar 2016,37.635000,276,119
28 Mar 2016,18.156667,296,123
29 Mar 2016,80.471111,440,188
30 Mar 2016,173.088333,706,302
31 Mar 2016,28.768889,254,103
01 Apr 2016,0.319444,10,5
